RANK,REG,CODE,Airport,Airport location
1,NAM,ATL,"ATLANTA GA, US (ATL)","ATLANTA GA, US (ATL) Airport"
2,ASP,PEK,"BEIJING, CN (PEK)","BEIJING, CN (PEK) Airport"
3,EUR,LHR,"LONDON, GB (LHR)","LONDON, GB (LHR) Airport"
4,NAM,ORD,"CHICAGO IL, US (ORD)","CHICAGO IL, US (ORD) Airport"
5,ASP,HND,"TOKYO, JP (HND)","TOKYO, JP (HND) Airport"
6,NAM,LAX,"LOS ANGELES CA, US (LAX)","LOS ANGELES CA, US (LAX) Airport"
7,EUR,CDG,"PARIS, FR (CDG)","PARIS, FR (CDG) Airport"
8,NAM,DFW,"DALLAS/FORT WORTH TX, US (DFW)","DALLAS/FORT WORTH TX, US (DFW) Airport"
9,EUR,FRA,"FRANKFURT, DE (FRA)","FRANKFURT, DE (FRA) Airport"
10,ASP,HKG,"HONG KONG, HK (HKG)","HONG KONG, HK (HKG) Airport"
11,NAM,DEN,"DENVER CO, US (DEN)","DENVER CO, US (DEN) Airport"
12,MEA,DXB,"DUBAI, AE (DXB)","DUBAI, AE (DXB) Airport"
13,ASP,CGK,"JAKARTA, ID (CGK)","JAKARTA, ID (CGK) Airport"
14,EUR,AMS,"AMSTERDAM, NL (AMS)","AMSTERDAM, NL (AMS) Airport"
15,EUR,MAD,"MADRID, ES (MAD)","MADRID, ES (MAD) Airport"
16,ASP,BKK,"BANGKOK, TH (BKK)","BANGKOK, TH (BKK) Airport"
17,NAM,JFK,"NEW YORK NY, US (JFK)","NEW YORK NY, US (JFK) Airport"
18,ASP,SIN,"SINGAPORE, SG (SIN)","SINGAPORE, SG (SIN) Airport"
19,ASP,CAN,"GUANGZHOU, CN (CAN)","GUANGZHOU, CN (CAN) Airport"
20,NAM,LAS,"LAS VEGAS NV, US (LAS)","LAS VEGAS NV, US (LAS) Airport"
21,ASP,PVG,"SHANGHAI, CN (PVG)","SHANGHAI, CN (PVG) Airport"
22,NAM,SFO,"SAN FRANCISCO CA, US (SFO)","SAN FRANCISCO CA, US (SFO) Airport"
23,NAM,PHX,"PHOENIX AZ, US (PHX)","PHOENIX AZ, US (PHX) Airport"
24,NAM,IAH,"HOUSTON TX, US (IAH)","HOUSTON TX, US (IAH) Airport"
25,NAM,CLT,"CHARLOTTE NC, US (CLT)","CHARLOTTE NC, US (CLT) Airport"
26,NAM,MIA,"MIAMI FL, US (MIA)","MIAMI FL, US (MIA) Airport"
27,EUR,MUC,"MUNICH, DE (MUC)","MUNICH, DE (MUC) Airport"
28,ASP,KUL,"KUALA LUMPUR, MY (KUL)","KUALA LUMPUR, MY (KUL) Airport"
29,EUR,FCO,"ROME, IT (FCO)","ROME, IT (FCO) Airport"
30,EUR,IST,"ISTANBUL, TR (IST)","ISTANBUL, TR (IST) Airport"
31,ASP,SYD,"SYDNEY, AU (SYD)","SYDNEY, AU (SYD) Airport"
32,NAM,MCO,"ORLANDO FL, US (MCO)","ORLANDO FL, US (MCO) Airport"
33,ASP,ICN,"INCHEON, KR (ICN)","INCHEON, KR (ICN) Airport"
34,ASP,DEL,"NEW DELHI, IN (DEL)","NEW DELHI, IN (DEL) Airport"
35,EUR,BCN,"BARCELONA, ES (BCN)","BARCELONA, ES (BCN) Airport"
36,EUR,LGW,"LONDON, GB (LGW)","LONDON, GB (LGW) Airport"
37,NAM,EWR,"NEWARK NJ, US (EWR)","NEWARK NJ, US (EWR) Airport"
38,NAM,YYZ,"TORONTO ON, CA (YYZ)","TORONTO ON, CA (YYZ) Airport"
39,ASP,SHA,"SHANGHAI, CN (SHA)","SHANGHAI, CN (SHA) Airport"
